
'SEQUENCE_OWNER'||','||'SEQUENCE_NAME'||','||'MIN_VALUE'||','||'MAX_VALUE'||','||'INCREMENT_BY'
SEQUENCE_OWNER,SEQUENCE_NAME,MIN_VALUE,MAX_VALUE,INCREMENT_BY,CYCLE_FLAG,CACHE_SIZE,LAST_NUMBER

SEQUENCE_OWNER||','||SEQUENCE_NAME||','||MIN_VALUE||','||MAX_VALUE||','||INCREMENT_BY||','||CYCLE_FLAG||','||CACHE_SIZE||','||LAST_NUMBER
CFUSER,EE_SRU_SEQ,1,999999999999999999999999999,1,N,0,10144
CFUSER,EE_STATION_HIST_SEQ,1,999999999999999999999999999,1,N,0,25501
CFUSER,EE_STATION_SEQ,1,999999999999999999999999999,1,N,0,530
CFUSER,EE_STATION_STATUS_SEQ,1,999999999999999999999999999,1,N,0,513097
CFUSER,EE_STA_STAT_HIST_SEQ,1,999999999999999999999999999,1,N,0,730646
CFUSER,EE_VALIDATION_SEQ,1,999999999999999999999999999,1,N,0,200
CFUSER,EE_WORK_CENTER_SEQ,1,999999999999999999999999999,1,N,0,202
CFUSER,EE_WUC_SEQ,1,999999999999999999999999999,1,N,0,11277
CFUSER,FORM_2875_SEQ,1,999999999999999999999999999,1,N,0,5
CFUSER,INV_SUBH_SEQ,1,999999999999999999999999999,1,N,0,23694
CFUSER,MX_DDR_HIST_SEQ,1,999999999999999999999999999,1,N,0,22444
CFUSER,MX_ERROR_LOG_SEQ,1,999999999999999999999999999,1,N,0,1
CFUSER,MX_EVENT_HIST_SEQ,1,999999999999999999999999999,1,N,0,27516
CFUSER,MX_METER_HIST_SEQ,1,999999999999999999999999999,1,N,0,43
CFUSER,MX_WCE_HIST_SEQ,1,999999999999999999999999999,1,N,0,29438
CFUSER,PROJ_REQ_SEQ,1,999999999999999999999999999,1,N,0,5
CFUSER,SE_CFGLOGSUB_SEQ,1,999999999999999999999999999,1,N,0,3
CFUSER,SE_CFGLOG_HIST_SEQ,1,999999999999999999999999999,1,N,0,1
CFUSER,SE_CFGLOG_TRU_SEQ,1,999999999999999999999999999,1,N,0,2126
CFUSER,SE_CFG_TRU_SEQ,1,999999999999999999999999999,1,N,0,219
CFUSER,SE_SHELTER_SEQ,1,999999999999999999999999999,1,N,0,895
CFUSER,SE_SHELTSUBCFGHIST_SEQ,1,999999999999999999999999999,1,N,0,84856
CFUSER,SE_SHELTSUBCFG_SEQ,1,999999999999999999999999999,1,N,0,21067
CFUSER,SE_SHLCFG_HIST_SEQ,1,999999999999999999999999999,1,N,0,15150
CFUSER,SE_SHLTE_HIST_SEQ,1,999999999999999999999999999,1,N,0,129222
CFUSER,SE_TEQUIP_HIST_SEQ,1,999999999999999999999999999,1,N,0,186
CFUSER,SE_TEQUIP_SEQ,1,999999999999999999999999999,1,N,0,10
GLOBALEYE,ADM_VARIABLE_SEQ,1,999999999999999999999999999,1,N,0,581
GLOBALEYE,ASSET_HIST_SEQ,1,999999999999999999999999999,1,N,0,4640690
GLOBALEYE,ASSET_INSPECTION_SEQ,1,999999999999999999999999999,1,N,0,192928
GLOBALEYE,ASSET_SEQ,1,999999999999999999999999999,1,N,0,1021435
GLOBALEYE,ASSET_VERIFY_SEQ,1,999999999999999999999999999,1,N,0,167219
GLOBALEYE,ATE_CAP_BUILD_HIST_SEQ,1,999999999999999999999999999,1,N,0,101304
GLOBALEYE,ATE_CAP_BUILD_SEQ,1,999999999999999999999999999,1,N,0,33984
GLOBALEYE,ATE_CAP_CFG_HIST_SEQ,1,999999999999999999999999999,1,N,0,3382
GLOBALEYE,ATE_CAP_CFG_SEQ,1,999999999999999999999999999,1,N,0,1370
GLOBALEYE,ATE_CAP_MATRIX_SEQ,1,999999999999999999999999999,1,N,0,1
GLOBALEYE,ATE_CAP_SEQ,1,999999999999999999999999999,1,N,0,1121
GLOBALEYE,ATE_JOB_STANDARD_SEQ,1,999999999999999999999999999,1,N,0,1329
GLOBALEYE,ATE_STATION_HIST_SEQ,1,999999999999999999999999999,1,N,0,25549
GLOBALEYE,ATE_STATION_SEQ,1,999999999999999999999999999,1,N,0,10806
GLOBALEYE,ATE_TRU_BUILD_HIST_SEQ,1,999999999999999999999999999,1,N,0,24456
GLOBALEYE,ATE_TRU_BUILD_SEQ,1,999999999999999999999999999,1,N,0,25212
